epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4617.94,1.00973,0.57522,1.21172,0.95565,0.90124,0.96264,0.5773,1.44306,0.60076,1.70824,0.000366899,0.000366899,0.000366899
61,4694.19,0.99075,0.53392,1.19594,0.93987,0.91478,0.95493,0.56727,1.44277,0.59304,1.71467,0.000352037,0.000352037,0.000352037
62,4769.81,0.97943,0.54615,1.18657,0.96521,0.8966,0.94678,0.56937,1.4538,0.61846,1.73103,0.000337325,0.000337325,0.000337325
63,4845.94,0.9809,0.54282,1.19341,0.94684,0.92096,0.95542,0.57594,1.42462,0.59964,1.71266,0.000322778,0.000322778,0.000322778
64,4922.32,0.97699,0.53205,1.18798,0.96467,0.88518,0.96015,0.58621,1.39776,0.58964,1.68665,0.000308412,0.000308412,0.000308412
65,5003.2,0.96567,0.5308,1.1729,0.94399,0.91618,0.95515,0.57269,1.43833,0.60596,1.71544,0.000294239,0.000294239,0.000294239
66,5078.9,0.96237,0.53305,1.18485,0.94841,0.91452,0.96541,0.57528,1.43556,0.58098,1.70253,0.000280275,0.000280275,0.000280275
67,5154.53,0.93387,0.51947,1.16577,0.95153,0.91708,0.95545,0.57655,1.43192,0.5924,1.72667,0.000266532,0.000266532,0.000266532
68,5230.3,0.94133,0.51498,1.15767,0.95785,0.90747,0.95934,0.57715,1.43178,0.60103,1.70393,0.000253024,0.000253024,0.000253024
69,5306.42,0.92088,0.50121,1.15617,0.95794,0.92091,0.95542,0.57633,1.42922,0.5727,1.72998,0.000239766,0.000239766,0.000239766
70,5381.9,0.9033,0.49994,1.15029,0.93959,0.91988,0.95785,0.5772,1.43093,0.59594,1.73041,0.000226769,0.000226769,0.000226769
71,5457.59,0.90489,0.49481,1.13922,0.94136,0.92972,0.95773,0.57244,1.43957,0.59918,1.72854,0.000214046,0.000214046,0.000214046
72,5534.08,0.88775,0.4784,1.13205,0.95777,0.90956,0.96454,0.5739,1.45496,0.60475,1.77199,0.000201611,0.000201611,0.000201611
73,5609.88,0.88415,0.4884,1.13325,0.94487,0.92462,0.95565,0.57533,1.42478,0.59035,1.73751,0.000189475,0.000189475,0.000189475
74,5685.44,0.8775,0.48758,1.12905,0.95567,0.92459,0.96383,0.58269,1.41019,0.57658,1.72669,0.000177651,0.000177651,0.000177651
75,5760.92,0.86201,0.46491,1.1172,0.96616,0.92482,0.96863,0.58553,1.40578,0.57137,1.7454,0.000166149,0.000166149,0.000166149
76,5836.14,0.84184,0.46806,1.11526,0.96723,0.91853,0.96091,0.57826,1.42407,0.58355,1.75809,0.000154982,0.000154982,0.000154982
77,5912.16,0.85371,0.47514,1.11247,0.95159,0.92078,0.96367,0.57991,1.42343,0.5884,1.76085,0.000144161,0.000144161,0.000144161
78,5988.68,0.84572,0.47134,1.10687,0.9595,0.92295,0.97026,0.58995,1.41266,0.58762,1.74045,0.000133695,0.000133695,0.000133695
79,6066.01,0.82893,0.46421,1.1041,0.96852,0.9093,0.96405,0.57846,1.41648,0.58498,1.75955,0.000123596,0.000123596,0.000123596
80,6141.79,0.82795,0.46683,1.11004,0.95466,0.92531,0.96927,0.57916,1.42038,0.57896,1.76232,0.000113873,0.000113873,0.000113873
81,6217.62,0.81879,0.45584,1.0928,0.93747,0.93209,0.96671,0.58132,1.40906,0.57898,1.73504,0.000104537,0.000104537,0.000104537
82,6293.87,0.82258,0.45589,1.09143,0.96578,0.92037,0.96812,0.57875,1.41848,0.5671,1.75617,9.55951e-05,9.55951e-05,9.55951e-05
83,6370.18,0.79639,0.45021,1.07983,0.95263,0.92911,0.96356,0.57384,1.41588,0.58173,1.77924,8.70577e-05,8.70577e-05,8.70577e-05
84,6446.25,0.79605,0.44361,1.08199,0.94551,0.93129,0.96518,0.58155,1.4252,0.56867,1.77346,7.89327e-05,7.89327e-05,7.89327e-05
85,6521.81,0.78746,0.44009,1.08124,0.96102,0.90868,0.96811,0.58239,1.41536,0.57614,1.75838,7.12282e-05,7.12282e-05,7.12282e-05
86,6597.65,0.78276,0.43528,1.0727,0.96245,0.91725,0.95778,0.57982,1.41474,0.57157,1.76482,6.39518e-05,6.39518e-05,6.39518e-05
87,6673.36,0.77738,0.44294,1.07348,0.93605,0.93508,0.95919,0.57482,1.42012,0.58302,1.7816,5.71106e-05,5.71106e-05,5.71106e-05
88,6749.44,0.77886,0.43724,1.07074,0.95416,0.91995,0.96622,0.5819,1.41301,0.56841,1.77289,5.07115e-05,5.07115e-05,5.07115e-05
89,6825.45,0.77567,0.43069,1.07147,0.97549,0.91118,0.96918,0.58045,1.42115,0.56576,1.7865,4.47606e-05,4.47606e-05,4.47606e-05
90,6901.53,0.77395,0.43728,1.07347,0.97083,0.91247,0.96953,0.58244,1.42452,0.56371,1.79568,3.9264e-05,3.9264e-05,3.9264e-05
91,6978.66,0.71876,0.33853,1.07238,0.94378,0.93256,0.95642,0.56396,1.45753,0.57286,1.83833,3.4227e-05,3.4227e-05,3.4227e-05
92,7055.06,0.68792,0.31447,1.06656,0.9431,0.93016,0.95468,0.5646,1.44045,0.58683,1.82008,2.96546e-05,2.96546e-05,2.96546e-05
93,7134.38,0.68731,0.31546,1.05481,0.9516,0.93225,0.95955,0.56831,1.43532,0.57779,1.82567,2.55513e-05,2.55513e-05,2.55513e-05
94,7209.7,0.66411,0.30671,1.046,0.94105,0.93136,0.95133,0.56928,1.42881,0.57809,1.81448,2.19212e-05,2.19212e-05,2.19212e-05
95,7286.77,0.66835,0.31076,1.0479,0.95694,0.92137,0.95713,0.57183,1.42795,0.57165,1.81001,1.87678e-05,1.87678e-05,1.87678e-05
96,7362.7,0.66384,0.29998,1.03613,0.96184,0.91717,0.9488,0.56962,1.42471,0.57504,1.80914,1.60943e-05,1.60943e-05,1.60943e-05
97,7442.95,0.65375,0.29876,1.03938,0.94212,0.93244,0.94973,0.57256,1.42648,0.57658,1.80908,1.39032e-05,1.39032e-05,1.39032e-05
98,7523.13,0.64982,0.29672,1.03521,0.9441,0.93141,0.95186,0.57185,1.42528,0.57538,1.80696,1.21968e-05,1.21968e-05,1.21968e-05
